RANDOMIZE,Block_,Block,Question,Options,Answer Type,Notes/Instructions,exclusive,ordered,SARA NOTES,BRANCH
YES,37,3,"To what extent do you agree or disagree with this statement: ""I would find it harder to negotiate my salary or wage rate with a manager or boss of the opposite gender/sex""",I strongly agree,,,yes,yes,Block 5,
YES,,3,,I somewhat agree,,,,,,
YES,,3,,I somewhat disagree,,,,,,
YES,,3,,I strongly disagree,,,,,,
YES,38,3,To what extent do you feel comfortable asking your manager or boss for an increase in pay or higher wage?,I feel very comfortable,,,yes,yes,Block 6,
YES,,3,,I feel somewhat comfortable ,,,,,,
YES,,3,,I do not know how I feel,,,,,,
YES,,3,,I feel somewhat uncomfortable,,,,,,
YES,,3,,I feel very uncomfortable ,,,,,,
YES,39,3,"Would you find it easier, the same, or more difficult to negotiate your salary or wage rate if you were offered a salary or wage rate that was less than what you expected to make?""",Easier,,,yes,yes,Block 6,4
YES,,3,,The same,,,,,,4
YES,,3,,More difficult,,,,,,4
,,4,Thank you for taking the time to complete this survey!,,,,,,,
